ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
3020 Heather St;Independent School;Blessed Sacrament School;"{""coordinates"": [-123.1193909103338, 49.2583379074734], ""type"": ""Point""}";Fairview
1110 Cotton Drive;Public School;Britannia Community Elementary;"{""coordinates"": [-123.07137879542154, 49.27451200859733], ""type"": ""Point""}";Grandview-Woodland
1788 W Broadway;Independent School;Century High School;"{""coordinates"": [-123.14531440269688, 49.263384758081116], ""type"": ""Point""}";Fairview
7835 Champlain Crescent;Public School;Champlain Heights Annex;"{""coordinates"": [-123.03054968939806, 49.2140784317513], ""type"": ""Point""}";Killarney
7835 Champlain Crescent;StrongStart BC;Champlain Heights Annex StrongStart Cntr;"{""coordinates"": [-123.03054968939806, 49.2140784317513], ""type"": ""Point""}";Killarney
3877 Glen Drive;Public School;Charles Dickens Annex;"{""coordinates"": [-123.08271031, 49.2502130610676], ""type"": ""Point""}";Kensington-Cedar Cottage
2882 E 4th Av;Public School;Chief Maquinna Annex;"{""coordinates"": [-123.04511809000002, 49.266421543067686], ""type"": ""Point""}";Hastings-Sunrise
3200 W 41st Av;Independent School;Crofton House;"{""coordinates"": [-123.17721815907593, 49.233677833584544], ""type"": ""Point""}";Kerrisdale
55 Expo Blvd;Public School;Crosstown Elementary;"{""coordinates"": [-123.106594, 49.27863099906775], ""type"": ""Point""}";Downtown
315 E 23rd Av;Public School;David Livingstone Elementary;"{""coordinates"": [-123.09798144, 49.2507533360676], ""type"": ""Point""}";Riley Park
2900 E 44th Av;Public School;Dr George M Weir Elementary;"{""coordinates"": [-123.04440254, 49.22957875906749], ""type"": ""Point""}";Killarney
6100 Battison St;Public School;Dr H N MacCorkindale Elementary;"{""coordinates"": [-123.02935503511594, 49.22799018553298], ""type"": ""Point""}";Killarney
500 W 20th Av;Public School;Edith Cavell Elementary;"{""coordinates"": [-123.11722884, 49.25290710906762], ""type"": ""Point""}";South Cambie
2740 Guelph St;Public School;Florence Nightingale Elementary;"{""coordinates"": [-123.09371757, 49.260059324067655], ""type"": ""Point""}";Mount Pleasant
5025 Willow St;Public School;G F Strong School Program;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie
4860 Main St;Public School;General Brock Elementary;"{""coordinates"": [-123.10063141, 49.24121522106756], ""type"": ""Point""}";Riley Park
4251 Ontario St;Public School;General Wolfe Elementary;"{""coordinates"": [-123.10596494, 49.247228706067595], ""type"": ""Point""}";Riley Park
2055 Woodland Dr;Public School;Grandview Elementary;"{""coordinates"": [-123.0743697, 49.266193169067684], ""type"": ""Point""}";Grandview-Woodland
2625 Franklin St;Public School;Hastings Community Elementary;"{""coordinates"": [-123.05057740868249, 49.28261095988815], ""type"": ""Point""}";Hastings-Sunrise
2490 W 37th Av;Independent School;Ivy Montessori School;"{""coordinates"": [-123.16209828723368, 49.238114800850234], ""type"": ""Point""}";Arbutus-Ridge
801 E 54th Av;Public School;John Henderson Annex;"{""coordinates"": [-123.08804322, 49.22104214306744], ""type"": ""Point""}";Sunset
